,AP.VIRIDIAN2_Total_Count
2019-07-02 08:23:31.942001300,14
2019-07-02 08:24:31.846008300,14
2019-07-02 08:24:31.863006500,14
2019-07-02 08:24:31.899002000,14
2019-07-02 08:24:31.910003600,14
2019-07-02 08:24:31.945007300,14
2019-07-02 08:24:31.946014400,14
2019-07-02 08:24:31.958007800,14
2019-07-02 08:25:31.856002800,14
2019-07-02 08:25:31.874008100,14
2019-07-02 08:25:31.910003600,14
2019-07-02 08:25:31.922012300,14
2019-07-02 08:25:31.958007800,14
2019-07-02 08:25:31.959014800,14
2019-07-02 08:25:31.971008300,14
2019-07-02 08:26:31.850006100,14
2019-07-02 08:26:31.867004300,14
2019-07-02 08:26:31.906005800,14
2019-07-02 08:26:31.917007400,14
2019-07-02 08:26:31.952011100,14
2019-07-02 08:26:31.954010000,14
2019-07-02 08:26:31.968002300,14
2019-07-02 08:27:31.871002100,14
2019-07-02 08:27:31.889007500,14
2019-07-02 08:27:31.923004100,14
2019-07-02 08:27:31.935012800,14
2019-07-02 08:27:31.970001200,14
2019-07-02 08:27:31.972000100,14
2019-07-02 08:27:31.983001700,14
2019-07-02 08:28:31.888000400,14
2019-07-02 08:28:31.905014000,14
2019-07-02 08:28:31.942001300,14
2019-07-02 08:28:31.954010000,14
2019-07-02 08:28:31.987014700,14
2019-07-02 08:28:31.989013600,14
2019-07-02 08:28:32.001007000,14
2019-07-02 08:29:31.888000400,14
2019-07-02 08:29:31.907012900,14
2019-07-02 08:29:31.946014400,14
2019-07-02 08:29:31.958007800,14
2019-07-02 08:29:31.996002100,14
2019-07-02 08:29:31.998001000,14
2019-07-02 08:29:32.012008600,14
2019-07-02 08:31:31.925003000,15
2019-07-02 08:31:31.943008400,15
2019-07-02 08:31:31.977005000,15
2019-07-02 08:31:31.989013600,15
2019-07-02 08:31:32.024002000,15
2019-07-02 08:31:32.026000900,15
2019-07-02 08:31:32.038009600,15
2019-07-02 08:32:31.919006300,15
2019-07-02 08:32:31.936004600,15
2019-07-02 08:32:31.972000100,15
2019-07-02 08:32:31.984008700,15
2019-07-02 08:32:32.017013500,15
2019-07-02 08:32:32.019012400,15
2019-07-02 08:32:32.031005800,15
2019-07-02 08:33:31.937011700,15
2019-07-02 08:33:31.956008900,15
2019-07-02 08:33:32.003005900,15
2019-07-02 08:33:32.015014600,15
2019-07-02 08:33:32.051010100,15
2019-07-02 08:33:32.052001900,15
2019-07-02 08:33:32.065002400,15
2019-07-02 08:34:31.941009500,15
2019-07-02 08:34:31.964004500,15
2019-07-02 08:34:32.000000000,15
2019-07-02 08:34:32.011001500,15
2019-07-02 08:34:32.057006800,15
2019-07-02 08:34:32.058013900,15
2019-07-02 08:34:32.071014400,15
2019-07-02 08:35:31.944000200,15
2019-07-02 08:35:31.961013700,15
2019-07-02 08:35:31.995010300,15
2019-07-02 08:35:32.008010800,15
2019-07-02 08:35:32.043014500,15
2019-07-02 08:35:32.045013400,15
2019-07-02 08:35:32.058013900,15
2019-07-02 08:36:31.963012600,15
2019-07-02 08:36:31.982009800,15
2019-07-02 08:36:32.018005300,15
2019-07-02 08:36:32.030014000,15
2019-07-02 08:36:32.064010600,15
2019-07-02 08:36:32.065002400,15
2019-07-02 08:36:32.077011100,15
2019-07-02 08:37:31.968002300,15
2019-07-02 08:37:31.987014700,15
2019-07-02 08:37:32.024002000,15
2019-07-02 08:37:32.035003600,15
2019-07-02 08:37:32.072006200,15
2019-07-02 08:37:32.073013300,15
2019-07-02 08:37:32.085006700,15
2019-07-02 08:38:31.963012600,15
2019-07-02 08:38:31.980010900,15
2019-07-02 08:38:32.014007500,15
2019-07-02 08:38:32.026000900,15
2019-07-02 08:38:32.061004600,15
2019-07-02 08:38:32.063003500,15
2019-07-02 08:38:32.075012200,15
2019-07-02 08:39:31.980010900,15
2019-07-02 08:39:31.997009200,15
2019-07-02 08:39:32.034011800,15
2019-07-02 08:39:32.045013400,15
2019-07-02 08:39:32.080001800,15
2019-07-02 08:39:32.081008900,15
2019-07-02 08:39:32.095001200,15
2019-07-02 08:41:31.995010300,18
2019-07-02 08:41:32.014007500,18
2019-07-02 08:41:32.051010100,18
2019-07-02 08:41:32.064010600,18
2019-07-02 08:41:32.101013100,18
2019-07-02 08:41:32.102005000,18
2019-07-02 08:41:32.116012500,18
2019-07-02 08:42:32.000000000,18
2019-07-02 08:42:32.017013500,18
2019-07-02 08:42:32.054000800,18
2019-07-02 08:42:32.065002400,18
2019-07-02 08:42:32.099014200,18
2019-07-02 08:42:32.100006100,18
2019-07-02 08:42:32.112014700,18
2019-07-02 08:43:32.031005800,18
2019-07-02 08:43:32.048004100,18
2019-07-02 08:43:32.083007800,18
2019-07-02 08:43:32.095001200,18
2019-07-02 08:43:32.130004800,18
2019-07-02 08:43:32.131011900,18
2019-07-02 08:43:32.143005300,18
2019-07-02 08:44:32.035003600,18
2019-07-02 08:44:32.052001900,18
2019-07-02 08:44:32.090011500,18
2019-07-02 08:44:32.101013100,18
2019-07-02 08:44:32.134002600,18
2019-07-02 08:44:32.135009700,18
2019-07-02 08:44:32.147003100,18
2019-07-02 08:45:32.044006300,18
2019-07-02 08:45:32.064010600,18
2019-07-02 08:45:32.101013100,18
2019-07-02 08:45:32.115005400,18
2019-07-02 08:45:32.152008000,18
2019-07-02 08:45:32.153015100,18
2019-07-02 08:45:32.165008500,18
2019-07-02 08:46:32.058013900,18
2019-07-02 08:46:32.074005100,18
2019-07-02 08:46:32.110000600,18
2019-07-02 08:46:32.123001000,18
2019-07-02 08:46:32.158004700,18
2019-07-02 08:46:32.160003600,18
2019-07-02 08:46:32.173004100,18
2019-07-02 08:47:32.043014500,18
2019-07-02 08:47:32.062011700,18
2019-07-02 08:47:32.099014200,18
2019-07-02 08:47:32.113006500,18
2019-07-02 08:47:32.147003100,18
2019-07-02 08:47:32.149002000,18
2019-07-02 08:47:32.161010700,18
2019-07-02 08:48:32.107009800,18
2019-07-02 08:48:32.126007000,18
2019-07-02 08:48:32.161010700,18
2019-07-02 08:48:32.174011200,18
2019-07-02 08:48:32.208007800,18
2019-07-02 08:48:32.210006700,18
2019-07-02 08:48:32.223007200,18
2019-07-02 08:49:32.105010900,18
2019-07-02 08:49:32.125000000,18
2019-07-02 08:49:32.167007400,18
2019-07-02 08:49:32.179000800,18
2019-07-02 08:49:32.212005600,18
2019-07-02 08:49:32.213012600,18
2019-07-02 08:49:32.227005000,18
2019-07-02 08:51:32.123001000,18
2019-07-02 08:51:32.140014600,18
2019-07-02 08:51:32.175003000,18
